Tue Mar  5 22:51:41 2024    output.prof

         3383 function calls (3351 primitive calls) in 5.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'quit' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:291(_get_default_root)
        2    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:371(__str__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\const\const.py:16(changeUnit)
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\classes\component.py:41(assignComponentParameters)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\const\const.py:26(changeMaxArrangeCount)
        1    0.000    0.000    0.000    0.000 C:\Users\admin\.conda\envs\guangfu\lib\tkinter\__init__.py:1665(__str__)
        1    0.000    0.000    0.000    0.000 e:\OneDrive - zju.edu.cn\vipa\zzp\Photovoltaic-power-generation-3D\const\const.py:21(getUnit)


